# Program		Subsumptions
addition.c		0
addition_safe10.c	2
addition_safe1.c	2
addition_safe2.c	3
addition_safe3.c	0
addition_safe4.c	2
addition_safe5.c	2
addition_safe6.c	4
addition_safe8.c	0
addition_safe9.c	0
addition_unsafe1.c	0
addition_unsafe2.c	4
argument1.c		0
argument2.c		0
arraysimple1.c		0
arraysimple2.c		0
arraysimple3.c		0
arraysimple4.c		2
arraysimple5.c		11
arraysimple6.c		14
branch.c		0
bubble.c		6
double-free.c		0
even.c			0
interproc.c		2
local.c			0
loop_safe1.c		0
loop_safe2.c		9
loop_unsafe1.c		5
malloc1.c		0
memory-access.c		3
openssl.c		4
openssl_partial_fix.c	0
pointer_alloc.c		0
pointer_wp.c		4
pointer_loop.c		6
pointer_recursive.c	4
pointer_iterative.c	1
pointer_struct1.c	0
pointer_struct2.c	0
pointer_struct3.c	2
pointer_struct4.c	0
polynomial.c		0
regexp_iterative.c	148
regexp_nonrecursive1.c	4
regexp_nonrecursive2.c	18
regexp_nonrecursive3.c	3
regexp_small.c		8
regexp_tiny.c		2
sp.c			0
testmem.c		23
use_after_free.c	0
